iteration,scenario,metric,run,score
1st iteration,Food Logistics ZS-Persona-cot,RAC,r3,88.0
1st iteration,Food Logistics ZS-Persona-cot,RAC,r4,100.0
1st iteration,Food Logistics ZS-Persona-cot,RAC,r5,87.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,T,r1,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,T,r2,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,T,r3,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,T,r4,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,T,r5,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,MAI,r1,45.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,MAI,r2,20.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,MAI,r3,50.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,MAI,r4,36.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,MAI,r5,90.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_A,r1,85.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_A,r2,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_A,r3,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_A,r4,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_A,r5,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_Q,r1,
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_Q,r2,0.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_Q,r3,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_Q,r4,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_Q,r5,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_P,r1,90.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_P,r2,93.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_P,r3,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_P,r4,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,GTC_P,r5,95.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,IC,r1,83.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,IC,r2,91.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,IC,r3,83.0
